Algorithm;Hash;Path;Symbol
SHA512;7B3DEB359FD4482B94C22F4380209D9B645F04447341454C6777E91CFDBAD112B868DEE220B9578AE882178BAECDD7A3D853C8F254D769D7336E26FAB82D4B04;sym-totalarray-template.html;totalarray
SHA512;79352A36199D084D6267D6D12616071315AA67E80AB1A0EA4DD6D5AD1C44DA6EF0EE5BD3EEA925675FBC74B53CC1CF2362B44F62C3D2AC485D45B1B8EFD8577B;sym-totalarray.js;totalarray
SHA512;A667FB259B6C71AE2D87B4E7EAF9948EBC4E5EE8DD13827EADDF08705BF0ADBA0E26F6B7ED4F0C1D65088DEA15EFABCC16A0CEA30F20B23813632639EE0C675D;sym-totalmultiphasepump-config.html;totalmultiphasepump
SHA512;66DE7DDECC7B192FDA4B63A5AB6BDF53B24DB6ABD97C1C1AE45F15D1CAF023B8C78B908C093E0FD3CF09C9941E07BB11AC3C32DD5D4E478AC0BB31E9D675638A;sym-totalmultiphasepump-template.html;totalmultiphasepump
SHA512;A4C1CC4CA06FF544337578537057FC08FC81A313CF9E9202BC44A0538B5647EACA0B123FE09DFECBBDDD891549E2690DC8344552178217454D4A21604E5341B0;sym-totalmultiphasepump.js;totalmultiphasepump
SHA512;C77AEE4CF76292C20D0A891E40443E1493325211A3A110DFFE1F3166C0156B534B4D20028DB7EE60BD67210CD719347A40FA3C8D716F36C7B88F84EB3AF4DB78;Icons\loading.gif;sendvalue
SHA512;B8D76ED8D8AA46033014E1ABFAE78136D03810418BA0F541CCBA563D10074617DE6CE434B09EBE27827E405A6EE40FDF59C0E1FAA5DCD3E62B8A7D0BC6472BED;Icons\paper-plane-xxl.png;sendvalue
SHA512;1BF5F53FE733495C9C085E89DBEEF622686A384DFB015662052A3794DB1C96F5269EF4047392C115FCB565E4F599A1B91A76FC74616976334F406D23D1B8C609;Icons\sym-amcharts-radar.png;amcharts-radar
SHA512;67C1955E0EFCC21FAA4648582C7869500E5560B33BD7E1C721E6EF9A2D4437594E1EFD49B3558CC2846C0DE47F01DA43BA84B76E9A2F307D66ED2CEA3D6F49BE;Icons\sym-timeSeriesDataTable.svg;timeSeriesDataTable
SHA512;B0EBDAD5CD2C9914BB4CAEA1FD41166D65C744ADC8D11663BBBC9961A49D515A7DC7D5E688AE7D6F0682F8448E1006C893C6AE0737341BE44C2D29CF43B0C568;Icons\TotalEnergies-Logo.svg;sendvalue
SHA512;B0EBDAD5CD2C9914BB4CAEA1FD41166D65C744ADC8D11663BBBC9961A49D515A7DC7D5E688AE7D6F0682F8448E1006C893C6AE0737341BE44C2D29CF43B0C568;Icons\TotalEnergies-Logo.svg;amcharts-radar
SHA512;130B958C4E4B86973B3EE6C78DFD2005E2F4D8411EBF9CEDA6CD7ED8416159D7989FABF3E5EC7E2F48ADB59821A85630164C66CA76F2835C73FBEBEDC224EC43;libraries\amcharts.js;amcharts-radar
SHA512;FEC50D3F7ECF896E2E137B36AE103BCA6BD332D855B13F1EA4BD301DFF08A88A9E6E392EAD56D7A1EF131D0144C46760B8033002578726B6C8CC1C0B0B42E632;libraries\radar.js;amcharts-radar
SHA512;EC0CA16BAF16DEE4E525CC51D0C525CD36592A255C8D43B416940ED46161B55A469C6C2C8C71C918C296086D7E371AED52514643E172DC317369F070D6A65A00;libraries\serial.js;amcharts-radar
SHA512;711839EEC3524AEB7297682F75BE25409C0621191647E9E0A351B558C818787B75FD1FBD827CB6ABD326706B4DAB7E93E375EAB4B11568F856D32B94902C8DA1;Icons\sym-histogram.white.png;histogram
SHA512;34F432473F68A4575A06FA170B0910CB7385CDCE0741F27DA1A88A2283BF6222011370EAD115BF7CA94EDB1E80614D1259F65F12587DD12A197927F72628637A;Icons\TotalEnvelope.svg;totalmultiphasepump
SHA512;BC7B87DCDEB840FF7C8CD09FAA654099E4A6347F81C7842F1756179BACD65203BFDF9A82317995AC33B80ADF1EBB605409F763FF73C7B89CD058C101BC2B6A88;Icons\TotalTopArray.svg;totalarray
SHA512;8FDF5CA7406EAD8E0A0BB0478EC30585CBE3703712BE5EBF75AA66E172D350FBD05766AE80341CDE5C8FAB51DD5244F9D40C79E8F03E3E9107F1613ABF70BB1B;libraries\acceptedlanguages.js;totalarray
SHA512;781A623E951868C4CF5D9FAA10F4B59535847211354FAF593522720CF5B262D2DD95662C62799549173CF99B2E48AAD4429AC807BA40634845BF7C3B7F909F72;libraries\commonMagion.js;totalarray
SHA512;018D7DF348FF13CA264DBDF7C3464C02C30354516B155794488D3084B6154F2B595BB1AF737CCFB98BA9068970167E90FE34653DDD1F21BBDD01E28F3AF2419F;libraries\d3v4.js;totalarray
SHA512;E4B94FFD5961CDDB5B41C15C15D4F9E301E2B91AC9EDAE1F36E7DA687EEBA0DFF4C573BF5E66F8D7386F2AA2AEC2683C937FCE67205B530D83A512D3F558BA7D;libraries\lodash.js;totalarray
SHA512;BE036E2E7DA8284724804BABFC030D4FA95B5F045BC2C8CD7BD846681F40CE542090C10D6FE59238543A9E777DF7903788979B050E13FA7D196978E03DC91BE3;libraries\lodash.min.js;totalarray
SHA512;6CDB074C800D9F3F398B8D06A1AA80F48925E899612DCDDD71CDB05B9EF0F0989EBC7C2D859D3BBCE593D22C9531C3A4C3C0893D3E201891255B0DE1BB964BF9;libraries\numbro.js;totalarray
SHA512;20D2DA7598E0840F3116F0C65283AD3C62F89A8FDE0849A0863275A2647D2F9E448E067C82DD91FBC9A6BC5FFB166333BDEC53C60268DB87488B0AF264381EC4;libraries\numbrolanguages.js;totalarray
SHA512;8FDF5CA7406EAD8E0A0BB0478EC30585CBE3703712BE5EBF75AA66E172D350FBD05766AE80341CDE5C8FAB51DD5244F9D40C79E8F03E3E9107F1613ABF70BB1B;libraries\acceptedlanguages.js;totalmultiphasepump
SHA512;781A623E951868C4CF5D9FAA10F4B59535847211354FAF593522720CF5B262D2DD95662C62799549173CF99B2E48AAD4429AC807BA40634845BF7C3B7F909F72;libraries\commonMagion.js;totalmultiphasepump
SHA512;018D7DF348FF13CA264DBDF7C3464C02C30354516B155794488D3084B6154F2B595BB1AF737CCFB98BA9068970167E90FE34653DDD1F21BBDD01E28F3AF2419F;libraries\d3v4.js;totalmultiphasepump
SHA512;E4B94FFD5961CDDB5B41C15C15D4F9E301E2B91AC9EDAE1F36E7DA687EEBA0DFF4C573BF5E66F8D7386F2AA2AEC2683C937FCE67205B530D83A512D3F558BA7D;libraries\lodash.js;totalmultiphasepump
SHA512;BE036E2E7DA8284724804BABFC030D4FA95B5F045BC2C8CD7BD846681F40CE542090C10D6FE59238543A9E777DF7903788979B050E13FA7D196978E03DC91BE3;libraries\lodash.min.js;totalmultiphasepump
SHA512;6CDB074C800D9F3F398B8D06A1AA80F48925E899612DCDDD71CDB05B9EF0F0989EBC7C2D859D3BBCE593D22C9531C3A4C3C0893D3E201891255B0DE1BB964BF9;libraries\numbro.js;totalmultiphasepump
SHA512;20D2DA7598E0840F3116F0C65283AD3C62F89A8FDE0849A0863275A2647D2F9E448E067C82DD91FBC9A6BC5FFB166333BDEC53C60268DB87488B0AF264381EC4;libraries\numbrolanguages.js;totalmultiphasepump
